Model,Accuracy,Precision,Recall,F1,AUC,LogLoss,TrainTime
WDL (Adam),0.9215,0.5,0.22929936305732485,0.314410480349345,0.8437123078890345,0.22356025040878508,1.0s
WDL (Dual),0.4065,0.06132879045996593,0.4585987261146497,0.10818933132982719,0.41843297586668105,0.818387285472891,3.1s
DCN-v2 Parallel,0.966,0.8248175182481752,0.7197452229299363,0.7687074829931972,0.9818628586042558,0.10183747318383056,1.2s
DCN-v2 Stacked,0.956,0.7116564417177914,0.7388535031847133,0.725,0.9364059567791368,0.2648137714798643,1.2s
DCN-v1 Parallel,0.968,0.8297872340425532,0.7452229299363057,0.785234899328859,0.9767272274849577,0.10830479434800246,1.2s
DIN,0.9153333333333333,0.8490566037735849,0.7488653555219364,0.7958199356913184,0.880128052964952,0.30168266870265464,6.9s
DIEN,0.9246666666666666,0.865546218487395,0.7791225416036308,0.8200636942675159,0.9012699221708593,0.2597119599791198,21.2s
